Region,Status,Population,SNP,Family,Age_SD,Ageatmaturity,Length_SD,Finallength,Growth_SD,growthrate3mm,inverseloggrowth,inversesqrtage,Familymeans_age,Familymeans_length,Familymeans_growth
South,Native,AlexIsoetes, ,AI6, , , , , , , , ,262,4.735,.01737275
South,Native,AlexIsoetes, ,AI6, , , , , , , , ,262,4.735,.01737275
South,Native,AlexIsoetes, ,AI6, , , , , ,.013216,-.231142950041015, ,262,4.735,.01737275
South,Native,AlexIsoetes, ,AI6, , , , , , , , ,262,4.735,.01737275
South,Native,AlexIsoetes, ,AI6, ,212, ,3.998, ,.023077,-.26532808094694,.0686802819743445,262,4.735,.01737275
South,Native,AlexIsoetes, ,AI6, ,241, ,4.957, ,.015957,-.241670951166251,.0644156626400831,262,4.735,.01737275
South,Native,AlexIsoetes, ,AI6, ,285, ,5.308, ,.017241,-.246277211438359,.0592348877759092,262,4.735,.01737275
South,Native,AlexIsoetes, ,AI6, ,310, ,4.677, , , ,.0567961834247065,262,4.735,.01737275
South,Native,AlexIsoetes, ,AI7, , , , , , , , ,380,5.076,.021583
South,Native,AlexIsoetes, ,AI7, , , , , , , , ,380,5.076,.021583
South,Native,AlexIsoetes, ,AI7, ,380, ,5.076, ,.021583,-.260698457856203,.0512989176042577,380,5.076,.021583
South,Native,AlexShallow, ,AS21, ,163, ,4.413, ,.0375,-.304561013207634,.0783260449987957,271.666666666667,4.65977777777778,.0223154
South,Native,AlexShallow, ,AS21, ,221, ,4.875, ,.02459,-.269875273325427,.0672672793996312,271.666666666667,4.65977777777778,.0223154
South,Native,AlexShallow, ,AS21, ,226, ,4.566, ,.02459,-.269875273325427,.0665190105237739,271.666666666667,4.65977777777778,.0223154
South,Native,AlexShallow, ,AS21, ,231, ,4.651, , , ,.0657951694959769,271.666666666667,4.65977777777778,.0223154
South,Native,AlexShallow, ,AS21, ,235, ,3.969, , , ,.0652328073053442,271.666666666667,4.65977777777778,.0223154
South,Native,AlexShallow, ,AS21, ,242, ,4.851, ,.017544,-.247338436357542,.0642824346533225,271.666666666667,4.65977777777778,.0223154
South,Native,AlexShallow, ,AS21, ,332, ,5.239, , , ,.0548821299948452,271.666666666667,4.65977777777778,.0223154
South,Native,AlexShallow, ,AS21, ,345, ,4.496, , , ,.0538381902058166,271.666666666667,4.65977777777778,.0223154
South,Native,AlexShallow, ,AS21, ,450, ,4.878, ,.007353,-.203556254551289,.0471404520791032,271.666666666667,4.65977777777778,.0223154
South,Native,AlexShallow, ,AS26, , , , , , , , ,170.8,4.85066666666667,.0256916
South,Native,AlexShallow, ,AS26, , , , , ,.015873,-.241363080053096, ,170.8,4.85066666666667,.0256916
South,Native,AlexShallow, ,AS26, , , , , , , , ,170.8,4.85066666666667,.0256916
South,Native,AlexShallow, ,AS26, ,117, ,5.083, ,.031915,-.290302798452911,.0924500327042048,170.8,4.85066666666667,.0256916
South,Native,AlexShallow, ,AS26, ,135, ,5.197, ,.02459,-.269875273325427,.086066296582387,170.8,4.85066666666667,.0256916
South,Native,AlexShallow, ,AS26, ,180, , , ,.028302,-.280518851728233,.074535599249993,170.8,4.85066666666667,.0256916
South,Native,AlexShallow, ,AS26, ,205, , , ,.027778,-.279055936249465,.0698430295769578,170.8,4.85066666666667,.0256916
South,Native,AlexShallow, ,AS26, ,217, ,4.272, , , ,.0678844233302131,170.8,4.85066666666667,.0256916
South,Native,AlexShallow, ,AS27, , , , , , , , ,260,5.23225,.0202682
South,Native,AlexShallow, ,AS27, , , , , ,.030928,-.287679270214488, ,260,5.23225,.0202682
South,Native,AlexShallow, ,AS27, , , , , ,.015707,-.240752178789477, ,260,5.23225,.0202682
South,Native,AlexShallow, ,AS27, , , , , , , , ,260,5.23225,.0202682
South,Native,AlexShallow, ,AS27, ,154, ,5.14, , , ,.080582296402538,260,5.23225,.0202682
South,Native,AlexShallow, ,AS27, ,242, ,5.147, ,.02,-.255622218635332,.0642824346533225,260,5.23225,.0202682
